Rank,RankO,Master_col,Name,Ranking_Agency,Year,Region,No. of FTE Students,No. of students per staff,International Students,Female_Ratio,Male_Ratio,Overall,Teaching,Research,Citations,Industry Income,International Outlook
170,170,Indiana University,Indiana University,Times,2023,United States,"66,637",12.6,13%,53%,47%,56.5,45.5,39.4,85.5,53.6,54.3
180,180,University of Arizona,University of Arizona,Times,2023,United States,"39,797",17,9%,54%,46%,55.9,45.8,47,78.7,52.1,41.3
181,181,Texas A&M University,Texas A&M University,Times,2023,United States,"62,931",21.3,8%,47%,53%,55.8,50.2,54.8,63.2,45.1,56
191,191,University of Massachusetts,University of Massachusetts,Times,2023,United States,"63,338",13.2,14%,49%,51%,54.9,41.2,33.5,87.8,51.7,65
192,192,"University of California, Santa Cruz","University of California, Santa Cruz",Times,2023,United States,"19,266",22.6,14%,47%,53%,54.8,32.6,33.3,95.9,46.2,67.9
194,194,University of Miami,University of Miami,Times,2023,United States,"17,009",10.8,16%,53%,47%,54.6,48.4,33.5,81,48.3,60.2
201,201–250,George Washington University,George Washington University,Times,2023,United States,"22,298",12.9,15%,62%,38%,51.2–54.3,47,32.8,83.2,38.7,56.9
201,201–250,University of Notre Dame,University of Notre Dame,Times,2023,United States,"12,401",10.9,13%,46%,54%,51.2–54.3,51,40.5,67.7,39.7,59.3
201,201–250,Rutgers University - New Brunswick,Rutgers University – New Brunswick,Times,2023,United States,"46,158",10.9,17%,53%,47%,51.2–54.3,43.5,43.6,73,43.1,53.9
201,201–250,University of South Florida,University of South Florida,Times,2023,United States,"39,907",18.6,13%,NA,NA,51.2–54.3,31.1,36.9,85.1,85,56.2
251,251–300,Boston College,Boston College,Times,2023,United States,"12,755",14.5,12%,54%,46%,48.9–51.1,48.6,31.5,74.9,37.4,48.5
251,251–300,"University of California, Riverside","University of California, Riverside",Times,2023,United States,"24,515",18.6,14%,53%,47%,48.9–51.1,33,32.7,81.4,41.7,65.3
251,251–300,University of Hawai’i at M?noa,University of Hawai’i at M?noa,Times,2023,United States,"14,628",10.7,11%,56%,44%,48.9–51.1,39.8,41.7,66,40.4,66.9
251,251–300,University of Illinois Chicago,University of Illinois Chicago,Times,2023,United States,"28,724",11.3,19%,54%,46%,48.9–51.1,43,32.4,74.6,45.4,53.1
251,251–300,Oregon Health and Science University,Oregon Health and Science University,Times,2023,United States,"3,035",1,3%,67%,33%,48.9–51.1,36.4,19.8,99.4,52,29.4
251,251–300,University of Utah,University of Utah,Times,2023,United States,"30,967",13.6,8%,48%,52%,48.9–51.1,39.9,34.9,81.7,57.5,33.9
251,251–300,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,Times,2023,United States,"36,512",18.5,14%,43%,57%,48.9–51.1,39.3,36.2,73.7,47.4,56.8
301,301–350,Brandeis University,Brandeis University,Times,2023,United States,"5,427",13.1,28%,59%,41%,47.0–48.7,28.5,23.1,90.3,37.3,55.5
301,301–350,University at Buffalo,University at Buffalo,Times,2023,United States,"27,393",18,15%,45%,55%,47.0–48.7,38.7,33.7,67.7,47.1,63.7
301,301–350,"University of California, Merced","University of California, Merced",Times,2023,United States,"9,185",20.1,10%,52%,48%,47.0–48.7,22.9,23.5,96,42.2,47.3
301,301–350,University of Colorado Denver/Anschutz Medical Campus,University of Colorado Denver/Anschutz Medical Campus,Times,2023,United States,"17,224",3.8,8%,57%,43%,47.0–48.7,30.1,20.3,97,42.9,31.5
301,301–350,Drexel University,Drexel University,Times,2023,United States,"19,304",12.5,14%,51%,49%,47.0–48.7,40.8,26,76.4,48.8,50.1
301,301–350,Florida State University,Florida State University,Times,2023,United States,"39,380",24,7%,57%,43%,47.0–48.7,40.2,37.3,67.5,40.1,47.8
301,301–350,George Mason University,George Mason University,Times,2023,United States,"32,157",18.1,12%,53%,47%,47.0–48.7,30.7,26.8,84,37.8,50
301,301–350,University of Iowa,University of Iowa,Times,2023,United States,"29,257",11.1,8%,54%,46%,47.0–48.7,42.5,31.6,70.7,51,46.2
301,301–350,Saint Louis University,Saint Louis University,Times,2023,United States,"10,798",7.4,7%,60%,40%,47.0–48.7,39.6,15.8,89.4,39.8,34.7
301,301–350,Stony Brook University,Stony Brook University,Times,2023,United States,"25,411",10.6,22%,52%,48%,47.0–48.7,33.8,26.8,76.1,38.1,69.5
301,301–350,Temple University,Temple University,Times,2023,United States,"35,641",12.5,8%,54%,46%,47.0–48.7,37.4,23.1,83.5,40.2,38.6
301,301–350,The University of Tennessee-Knoxville,The University of Tennessee-Knoxville,Times,2023,United States,"27,308",16.7,4%,NA,NA,47.0–48.7,35.6,28.4,79,45.1,46.7
351,351–400,University of Delaware,University of Delaware,Times,2023,United States,"21,808",16.3,12%,57%,43%,45.0–46.9,28.8,39,64.9,91.4,51.5
351,351–400,Howard University,Howard University,Times,2023,United States,"8,782",8.2,6%,70%,30%,45.0–46.9,45.7,17.6,79.2,36.9,34.3
351,351–400,University of New Mexico (Main campus),University of New Mexico (Main campus),Times,2023,United States,"18,046",16.9,5%,56%,44%,45.0–46.9,34.7,29.3,74.5,39,37.6
351,351–400,North Carolina State University,North Carolina State University,Times,2023,United States,"31,540",16.6,14%,48%,52%,45.0–46.9,40.9,38.2,59.7,47.5,54.8
351,351–400,Rush University,Rush University,Times,2023,United States,"2,757",2.1,1%,76%,24%,45.0–46.9,40.9,15.3,90.1,44.1,22.1
351,351–400,University of Texas at Dallas,University of Texas at Dallas,Times,2023,United States,"25,464",21.6,20%,43%,57%,45.0–46.9,24.8,27,81.3,42.7,56.4
351,351–400,Tulane University,Tulane University,Times,2023,United States,"11,220",7.5,11%,58%,42%,45.0–46.9,41.9,23,73.6,38.8,43.8
351,351–400,Wake Forest University,Wake Forest University,Times,2023,United States,"8,122",4,10%,54%,46%,45.0–46.9,39.4,20.2,81.9,45.7,33
351,351–400,Washington State University,Washington State University,Times,2023,United States,"29,463",19.5,7%,54%,46%,45.0–46.9,33.4,32.7,69.6,50.8,50.1
401,401–500,University of Alaska Fairbanks,University of Alaska Fairbanks,Times,2023,United States,"2,910",7.2,6%,53%,47%,42.1–44.9,29.1,24.9,70,47.7,60
401,401–500,Colorado School of Mines,Colorado School of Mines,Times,2023,United States,"6,350",17.6,9%,31%,69%,42.1–44.9,34,30.3,63,46.2,37.1
401,401–500,"Colorado State University, Fort Collins","Colorado State University, Fort Collins",Times,2023,United States,"29,351",17.7,6%,55%,45%,42.1–44.9,31.7,29.6,72.3,43,39.1
401,401–500,University of Connecticut,University of Connecticut,Times,2023,United States,"27,752",13.6,12%,52%,48%,42.1–44.9,39.1,29.3,59.8,40,54.8
401,401–500,University of Denver,University of Denver,Times,2023,United States,"10,001",13,6%,60%,40%,42.1–44.9,40.1,24.7,69.8,37.9,27.5
401,401–500,Georgia State University,Georgia State University,Times,2023,United States,"34,734",17.3,5%,58%,42%,42.1–44.9,34.3,26.9,65.2,38.1,43.4
401,401–500,Illinois Institute of Technology,Illinois Institute of Technology,Times,2023,United States,"6,386",11.5,41%,37%,63%,42.1–44.9,43.1,21.8,61,39.7,67.3
401,401–500,Iowa State University,Iowa State University,Times,2023,United States,"28,767",16.7,10%,44%,56%,42.1–44.9,35.5,36.9,56.5,51,39.5
401,401–500,University of Kansas,University of Kansas,Times,2023,United States,"24,435",9.9,8%,53%,47%,42.1–44.9,38.1,24.4,67.2,46.3,49.2
401,401–500,University of Nebraska-Lincoln,University of Nebraska-Lincoln,Times,2023,United States,"24,909",16.8,10%,49%,51%,42.1–44.9,34,31,60.5,39.6,56.1
401,401–500,University of Nebraska Medical Center,University of Nebraska Medical Center,Times,2023,United States,"3,181",2,9%,69%,31%,42.1–44.9,34.9,12.6,83.2,40.2,46.3
401,401–500,Nova Southeastern University,Nova Southeastern University,Times,2023,United States,"17,952",16.3,4%,70%,30%,42.1–44.9,39.4,10.6,87.5,36.9,28.9
401,401–500,Syracuse University,Syracuse University,Times,2023,United States,"20,620",14.9,23%,52%,48%,42.1–44.9,34.9,28,64.3,37.2,50.7
401,401–500,The University of Tulsa,The University of Tulsa,Times,2023,United States,"4,407",12,10%,48%,52%,42.1–44.9,37.8,17.1,75.6,48,36.4
401,401–500,William & Mary,William & Mary,Times,2023,United States,"8,089",10.9,8%,56%,44%,42.1–44.9,43.7,21.4,64.3,37.3,35.7
501,501–600,Florida International University,Florida International University,Times,2023,United States,"35,590",23.3,9%,57%,43%,39.3–42.0,32.2,27.4,62.7,37.9,41.7
501,501–600,University of Kentucky,University of Kentucky,Times,2023,United States,"27,216",11.2,4%,57%,43%,39.3–42.0,36.1,27.3,59.2,40.4,39
501,501–600,Missouri University of Science and Technology,Missouri University of Science and Technology,Times,2023,United States,"7,617",22.3,9%,23%,77%,39.3–42.0,29,26.7,61.3,58.7,62.9
501,501–600,University of South Carolina-Columbia,University of South Carolina-Columbia,Times,2023,United States,"33,025",15.6,5%,55%,45%,39.3–42.0,35,24,65.5,37.6,45.9
501,501–600,Stevens Institute of Technology,Stevens Institute of Technology,Times,2023,United States,"6,624",18.6,35%,29%,71%,39.3–42.0,22.8,20.5,69.6,37.6,73.5
501,501–600,SUNY University at Albany,SUNY University at Albany,Times,2023,United States,"16,090",17.2,8%,55%,45%,39.3–42.0,24.6,25.7,71.4,44.6,50.4
501,501–600,Virginia Commonwealth University,Virginia Commonwealth University,Times,2023,United States,"26,472",10.7,4%,63%,37%,39.3–42.0,28.9,12.3,86.2,42.5,30.7
501,501–600,Wayne State University,Wayne State University,Times,2023,United States,"22,941",11.9,5%,59%,41%,39.3–42.0,34,18.6,67.2,48.8,35.3
601,601–800,American University,American University,Times,2023,United States,"12,495",11.6,11%,63%,37%,34.0–39.2,40.7,16.8,55.7,42.5,37.3
601,601–800,University of Arkansas,University of Arkansas,Times,2023,United States,"25,207",19.4,4%,54%,46%,34.0–39.2,29.1,27.6,48.5,39.5,30.6
601,601–800,Auburn University,Auburn University,Times,2023,United States,"27,512",18.2,10%,50%,50%,34.0–39.2,32.4,23.4,45.9,43.8,49.3
601,601–800,Baylor University,Baylor University,Times,2023,United States,"19,700",17.7,7%,55%,45%,34.0–39.2,33.7,18.3,52.4,37.4,29.3
601,601–800,University of Central Florida,University of Central Florida,Times,2023,United States,"62,248",36.1,5%,56%,44%,34.0–39.2,26.1,29.5,60.1,46,34.4
601,601–800,Clark University,Clark University,Times,2023,United States,"3,273",11.6,25%,59%,41%,34.0–39.2,24.9,20.7,64.9,36.9,58.4
601,601–800,University of Georgia,University of Georgia,Times,2023,United States,"37,465",13.2,7%,58%,42%,34.0–39.2,39.5,25.8,52.8,39.2,37.6
601,601–800,University of Houston,University of Houston,Times,2023,United States,"46,958",27,7%,52%,48%,34.0–39.2,34.9,28,48.8,42.5,43.2
601,601–800,Lehigh University,Lehigh University,Times,2023,United States,"6,459",11.1,18%,46%,54%,34.0–39.2,28.3,21.4,52.3,39.3,65.2
601,601–800,Louisiana State University,Louisiana State University,Times,2023,United States,"29,191",18.2,5%,54%,46%,34.0–39.2,34.8,21.4,47,38.2,39.9
601,601–800,"University of Maryland, Baltimore County","University of Maryland, Baltimore County",Times,2023,United States,"11,456",16.8,8%,46%,54%,34.0–39.2,23,22.2,58.4,37.9,37.7
601,601–800,Mizzou - University of Missouri,Mizzou - University of Missouri,Times,2023,United States,"25,113",11.8,4%,55%,45%,34.0–39.2,34.8,25.3,52.1,40.2,44.7
601,601–800,"University of Nevada, Las Vegas","University of Nevada, Las Vegas",Times,2023,United States,"26,730",23.2,4%,57%,43%,34.0–39.2,31.8,24.6,50.7,37.3,31
601,601–800,New Jersey Institute of Technology,New Jersey Institute of Technology,Times,2023,United States,"9,757",14.6,24%,27%,73%,34.0–39.2,20.5,20.6,60.6,40.1,85.2
601,601–800,University of North Carolina at Charlotte,University of North Carolina at Charlotte,Times,2023,United States,"27,579",20.5,5%,49%,51%,34.0–39.2,20.2,19.3,71.7,39.4,31.6
601,601–800,Oklahoma State University,Oklahoma State University,Times,2023,United States,"21,250",14,6%,51%,49%,34.0–39.2,29.7,20.5,53.8,39.6,45.7
601,601–800,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Times,2023,United States,"7,475",14.7,21%,32%,68%,34.0–39.2,28.9,26.1,51,59.1,72.6
601,601–800,San Diego State University,San Diego State University,Times,2023,United States,"31,340",27.5,7%,56%,44%,34.0–39.2,24.5,11.1,69.4,37.6,33.5
601,601–800,SUNY Binghamton University,SUNY Binghamton University,Times,2023,United States,"18,852",22,11%,50%,50%,34.0–39.2,25.3,20.4,56.8,40,37
601,601–800,University of Texas at Arlington,University of Texas at Arlington,Times,2023,United States,"33,537",29.5,13%,60%,40%,34.0–39.2,23.9,19.2,56.8,40.2,45.6
601,601–800,The University of Texas at San Antonio,The University of Texas at San Antonio,Times,2023,United States,"27,187",24.7,3%,51%,49%,34.0–39.2,21.2,21.5,69,39,38
601,601–800,University of Toledo,University of Toledo,Times,2023,United States,"17,871",16.1,10%,52%,48%,34.0–39.2,34.8,15.1,49.9,41.9,48.6
801,801–1000,The University of Alabama,The University of Alabama,Times,2023,United States,"35,457",20.9,4%,56%,44%,29.8–33.9,27.2,19.1,54.2,37.5,31
801,801–1000,Chapman University,Chapman University,Times,2023,United States,"9,332",12.8,8%,61%,39%,29.8–33.9,38.5,13.9,43.3,37.4,40.6
801,801–1000,Clemson University,Clemson University,Times,2023,United States,"23,491",15.5,6%,49%,51%,29.8–33.9,25.2,21.4,41.7,40.9,43.7
801,801–1000,University of Dayton,University of Dayton,Times,2023,United States,"11,183",16.5,11%,48%,52%,29.8–33.9,32.6,25.4,29.5,43.4,33.1
801,801–1000,Florida Agricultural and Mechanical University,Florida Agricultural and Mechanical University,Times,2023,United States,"9,342",16.8,1%,66%,34%,29.8–33.9,36.8,13.8,36.8,37.3,41.5
801,801–1000,Florida Atlantic University,Florida Atlantic University,Times,2023,United States,"24,191",18.7,10%,64%,36%,29.8–33.9,21.5,19.3,46,42.6,48.5
801,801–1000,Kansas State University,Kansas State University,Times,2023,United States,"19,927",13.1,7%,51%,49%,29.8–33.9,27.5,20.8,41,42.2,46.9
801,801–1000,Marquette University,Marquette University,Times,2023,United States,"10,540",12,3%,57%,43%,29.8–33.9,37.5,16.6,37.9,38.7,25.6
801,801–1000,University of Memphis,University of Memphis,Times,2023,United States,"16,520",14.7,5%,60%,40%,29.8–33.9,29.3,17.7,42.2,37.2,29.9
801,801–1000,Mississippi State University,Mississippi State University,Times,2023,United States,"21,810",15.2,3%,52%,48%,29.8–33.9,22.8,18.5,44.9,40.6,41.6
801,801–1000,University of Missouri-St Louis,University of Missouri-St Louis,Times,2023,United States,"6,365",15.8,5%,58%,42%,29.8–33.9,33.1,18.8,44.2,47.4,41.7
801,801–1000,Montana State University,Montana State University,Times,2023,United States,"14,094",16,3%,47%,53%,29.8–33.9,21,17.7,57.6,45.5,36.9
801,801–1000,The New School,The New School,Times,2023,United States,"9,692",9.7,35%,74%,26%,29.8–33.9,25.2,14.5,47.2,37,53
801,801–1000,New Mexico State University (Main campus),New Mexico State University (Main campus),Times,2023,United States,"12,285",16,6%,58%,42%,29.8–33.9,23.2,22.2,44.8,39.9,37.5
801,801–1000,University of North Carolina at Greensboro,University of North Carolina at Greensboro,Times,2023,United States,"18,637",19.5,3%,67%,33%,29.8–33.9,25.1,19,48.3,37.3,25.9
801,801–1000,Northern Illinois University,Northern Illinois University,Times,2023,United States,"13,768",14.4,7%,53%,47%,29.8–33.9,28.3,16.7,47.1,37.6,51.2
801,801–1000,Ohio University (Main campus),Ohio University (Main campus),Times,2023,United States,"22,682",20.1,4%,57%,43%,29.8–33.9,27.6,18.8,55.7,38,29.9
801,801–1000,Old Dominion University,Old Dominion University,Times,2023,United States,"18,368",17.5,3%,56%,44%,29.8–33.9,23.2,19.5,47.4,36.9,31.7
801,801–1000,University of Rhode Island,University of Rhode Island,Times,2023,United States,"15,851",14.5,3%,57%,43%,29.8–33.9,23.3,18,56,37.2,44.7
801,801–1000,Southern Illinois University Carbondale,Southern Illinois University Carbondale,Times,2023,United States,"10,130",13.8,7%,50%,50%,29.8–33.9,35.2,23.9,35.2,47.1,33.9
801,801–1000,University of Texas at El Paso,University of Texas at El Paso,Times,2023,United States,"17,908",30.2,7%,54%,46%,29.8–33.9,26.6,31.7,32.8,36.9,41.6
801,801–1000,Texas Tech University,Texas Tech University,Times,2023,United States,"35,957",19.4,7%,49%,51%,29.8–33.9,29.7,19.2,42.9,37.6,50.5
801,801–1000,University of Wisconsin-Milwaukee,University of Wisconsin-Milwaukee,Times,2023,United States,"19,218",19.3,5%,56%,44%,29.8–33.9,22.9,22.2,55.8,38,33.4
801,801–1000,Worcester Polytechnic Institute,Worcester Polytechnic Institute,Times,2023,United States,"5,949",12.7,19%,38%,62%,29.8–33.9,23.6,19.3,53.8,38.5,52.2
801,801–1000,University of Wyoming,University of Wyoming,Times,2023,United States,"10,660",14.7,5%,51%,49%,29.8–33.9,27.6,14.4,57.2,39.9,32.3
1001,1001–1200,Bowling Green State University,Bowling Green State University,Times,2023,United States,"15,199",15.7,4%,57%,43%,24.4–29.7,21.5,12.7,38.8,37,25.8
1001,1001–1200,Clarkson University,Clarkson University,Times,2023,United States,"4,024",14.9,9%,35%,65%,24.4–29.7,25.8,16.5,35.3,40.4,51.5
1001,1001–1200,Creighton University,Creighton University,Times,2023,United States,"9,641",14.9,4%,60%,40%,24.4–29.7,39.8,14.6,29.3,38.2,26.7
1001,1001–1200,Florida Institute of Technology,Florida Institute of Technology,Times,2023,United States,"5,091",14.9,25%,35%,65%,24.4–29.7,29.2,17.4,25.6,39.4,66.7
1001,1001–1200,Morgan State University,Morgan State University,Times,2023,United States,"6,129",11.7,8%,59%,41%,24.4–29.7,22,10.4,36.7,37.2,48.7
1001,1001–1200,Oakland University,Oakland University,Times,2023,United States,"15,413",17.8,4%,58%,42%,24.4–29.7,29,15.7,31.3,37.1,33.6
1001,1001–1200,Portland State University,Portland State University,Times,2023,United States,"18,067",19.3,6%,58%,42%,24.4–29.7,20.5,21.5,40.6,37.8,30.6
1001,1001–1200,Rochester Institute of Technology,Rochester Institute of Technology,Times,2023,United States,"14,520",15.7,16%,36%,64%,24.4–29.7,20.9,19.2,43.5,38.2,41.5
1001,1001–1200,Rowan University,Rowan University,Times,2023,United States,"17,912",14.4,3%,47%,53%,24.4–29.7,30.7,11.3,45.6,37.3,31.3
1001,1001–1200,University of South Dakota,University of South Dakota,Times,2023,United States,"7,129",14.7,3%,63%,37%,24.4–29.7,35.2,15,30.1,36.9,24.9
1001,1001–1200,University of Texas Rio Grande Valley,University of Texas Rio Grande Valley,Times,2023,United States,"29,420",23.5,3%,60%,40%,24.4–29.7,18.1,23.7,40.7,37.1,36
1201,1201–1500,University of Colorado Colorado Springs,University of Colorado Colorado Springs,Times,2023,United States,"12,380",21.2,1%,55%,45%,18.4–24.3,17.1,12.7,32.9,38.4,24.7
1201,1201–1500,Georgia Southern University,Georgia Southern University,Times,2023,United States,"22,885",18.8,3%,59%,41%,18.4–24.3,21.9,11.4,33.9,39.4,28
1201,1201–1500,Grand Valley State University,Grand Valley State University,Times,2023,United States,"20,972",15.3,1%,61%,39%,18.4–24.3,26.7,9,19.2,37,30.6
1201,1201–1500,University of North Carolina Wilmington,University of North Carolina Wilmington,Times,2023,United States,"15,940",19.1,2%,64%,36%,18.4–24.3,18.5,8.1,32.4,37.3,30
1201,1201–1500,Texas State University,Texas State University,Times,2023,United States,"31,639",19.3,1%,59%,41%,18.4–24.3,19.1,16.2,31.1,39.8,35
1201,1201–1500,Western Michigan University,Western Michigan University,Times,2023,United States,"17,612",19.9,8%,52%,48%,18.4–24.3,22.7,15.2,24.7,37.3,36
2,2,California Institute of Technology,California Institute of Technology,Times,2022,United States,"2,233",6.3,34%,36%,64%,95,93.6,96.9,97.8,90.4,83.8
2,2,Harvard University,Harvard University,Times,2022,United States,"21,574",9.5,24%,50%,50%,95,94.5,98.9,99.2,48.9,79.8
4,4,Stanford University,Stanford University,Times,2022,United States,"16,319",7.3,23%,46%,54%,94.9,92.3,96.8,99.9,91,79.7
5,5,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Times,2022,United States,"11,459",8.4,33%,40%,60%,94.6,90.9,94.4,99.7,93.7,89.9
