,Rank_Times,RankO,Master_col,Name_Times,Ranking_Agency_Times,Year,Region_Times,No..of.FTE.Students,No..of.students.per.staff,International.Students,Female_Ratio,Male_Ratio,Overall_Times,Teaching,Research,Citations,Industry.Income,International.Outlook,Name_QS,Ranking_Agency_QS,Region_QS,Rank_QS,Classification_Size,Classification_Focus,Classification_Res,Classification_Age,Academic_Reputation_Score,Academic_Reputation_rank,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Employer_Reputation_rank,Faculty_Student_Score,Faculty_Student_Rank,Faculty_Student_rank,Citations_per_Faculty_Score,Citations_per_Faculty_rank,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_rank,International_Faculty_Rank,International_Students_Score,International_Students_rank,International_Students_Rank,Overall_QS,USNRank,OrgRank,Ranking_Agency_USN,InstituteName,State,PublicPrivate,OverAllScores,OverallScore,PeerAssessmentScore,GraduationRetentionRank,AverageFirstYearRetentionRate,PredictedGraduationRate,ActualGraduationRate,OverUnderperformance,PellGradrate,SocialMobilityRank,FacultyResourcesRank,PercentofClassesUnder20,PercentofClassesof50orMoreStudents,StudentFacultyRatio,Student_Faculty_Ratio,SelectivityRank,SATACT25thPercentile,SATACT75thPercentile,FirstYearStudentsTop10HSclass,AcceptanceRate,FinancialResourcesRank,AverageAlumniGivingRate
16,25,25,Duke University,Duke University,Times,2023,United States,"16,091",4.2,24%,52%,48%,82.6,78.1,76.2,95.7,99.6,68,Duke University,QS,United States,50,L,FC,VH,5,86.1,53,53,79.8,71,71,100,10,10,41.2,345,345,20.2,581,581,55.1,257,257,74.8,10,10,USNews,Duke University,NC,private,92,92,4.5,2,98%,96%,96%,NA,95%,339,10,70%,8%,6,6 to 1,5,1480,1570,95%,,15,29%
17,26,26,Northwestern University,Northwestern University,Times,2023,United States,"19,175",13.2,20%,51%,49%,82.1,71.7,80.7,97.5,85,67,Northwestern University,QS,United States,32,L,FC,VH,5,84.4,56,56,71.9,92,92,98.3,45,45,84.2,95,95,40.5,401,401,38.8,351,351,81.8,10,10,USNews,Northwestern University,IL,private,92,92,4.4,2,98%,95%,95%,NA,92%,303,6,76%,6%,6,6 to 1,5,1460,1560,95%,,7,28%
18,26,26,University of Washington,University of Washington,Times,2023,United States,"47,727",10.8,18%,55%,45%,82.1,71.6,82.8,98.9,53.9,63,University of Washington,QS,United States,80,XL,FC,VH,5,84.8,55,55,48.6,183,183,10.8,601+,601,100,7,7,32.5,458,458,36,384,384,64.7,55,55,USNews,University of Washington,WA,public,69,69,4,57,94%,90%,84%,-6,81%,228,380,28%,26%,21,21 to 1,62,1220,1470,61%,,32,9%
19,28,28,Carnegie Mellon University,Carnegie Mellon University,Times,2023,United States,"14,305",12.9,47%,44%,56%,81.1,65.4,81.8,98.7,55.2,80.1,Carnegie Mellon University,QS,United States,52,L,FC,VH,5,72.1,83,83,69,101,101,58.6,267,267,100,8,8,38.2,414,414,97.1,66,66,74.6,22,22,USNews,Carnegie Mellon University,PA,private,81,81,4.3,25,97%,93%,93%,NA,92%,361,17,69%,10%,6,6 to 1,17,1480,1560,89%,,35,14%
20,32,32,"University of California, San Diego","University of California, San Diego",Times,2023,United States,"37,030",11.3,28%,48%,52%,78.1,60.2,77.2,98.2,93,67.8,"University of California, San Diego (UCSD)",QS,United States,53,XL,FC,VH,4,90,45,45,61.6,123,123,55.6,280,280,77,118,118,54.9,333,333,53.7,267,267,74.5,34,34,USNews,"University of California, San Diego",CA,public,76,76,3.9,41,94%,86%,89%,3,88%,53,61,47%,24%,19,19 to 1,30,1260,1480,100%,,25,2%
21,38,38,Georgia Institute of Technology,Georgia Institute of Technology,Times,2023,United States,"28,826",24.7,40%,33%,67%,76,60.2,75.9,91.4,64.9,81.2,Georgia Institute of Technology,QS,United States,88,L,CO,VH,5,67.7,97,97,77,77,77,11.1,601+,601,95.5,44,44,62.9,299,299,54.8,260,260,62.3,44,44,USNews,Georgia Institute of Technology,GA,public,72,72,4.3,32,97%,93%,92%,-1,87%,372,328,33%,31%,21,21 to 1,24,1360,1540,91%,,65,14%
22,48,48,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Times,2023,United States,"48,674",17.4,22%,48%,52%,72.7,67.1,78.9,78.1,50.1,56.2,University of Illinois at Urbana-Champaign,QS,United States,85,XL,FC,VH,5,85.6,54,54,60.9,126,126,9.5,601+,601,88.7,71,71,20.3,578,578,46.4,309,309,63.6,41,41,USNews,University of Illinois Urbana-Champaign,IL,public,73,73,4,54,94%,79%,85%,6,78%,209,61,36%,12%,21,21 to 1,52,1330,1530,54%,,55,5%
23,50,50,University of Texas at Austin,University of Texas at Austin,Times,2023,United States,"49,171",17.4,10%,53%,47%,72.3,66.2,73.1,87.5,51.3,40.1,University of Texas at Austin,QS,United States,72,XL,FC,VH,5,93.7,34,34,85.2,62,62,9.8,601+,601,90.9,61,61,7.6,601,601+,10.8,601,601+,67.4,38,38,USNews,University of Texas at Austin,TX,public,74,74,4.1,41,96%,85%,88%,3,81%,186,84,39%,24%,18,18 to 1,32,1230,1500,86%,,70,8%
24,57,57,Washington University in St Louis,Washington University in St Louis,Times,2023,United States,"14,420",7.8,24%,53%,47%,70.6,60.3,56.8,98.2,47.5,64,Washington University in St. Louis,QS,United States,118,L,FC,VH,5,40.1,210,210,15.3,501+,501,99.9,22,22,55.6,221,221,82.4,212,212,55.1,258,258,55.8,15,15,USNews,Washington University in St. Louis,MO,private,87,87,4.2,17,96%,97%,93%,-4,93%,395,14,66%,10%,7,7 to 1,11,33,35,89%,,4,19%
25,61,61,Brown University,Brown University,Times,2023,United States,"10,037",10.1,21%,NA,NA,69.3,64.5,58,89.5,39,63.3,Brown University,QS,United States,63,M,FC,VH,5,57.6,128,128,54.2,154,154,80.8,132,132,89.9,65,65,82.8,210,210,49.8,294,294,69.6,13,13,USNews,Brown University,RI,private,88,88,4.5,2,97%,96%,96%,NA,93%,263,15,69%,12%,6,6 to 1,11,1460,1570,91%,,21,25%
26,63,63,"University of California, Davis","University of California, Davis",Times,2023,United States,"37,639",13.1,18%,60%,40%,68.5,59.7,66.3,80.9,52.4,68.7,"University of California, Davis",QS,United States,102,XL,FC,VH,5,64.8,105,105,51,162,162,27.1,559,559,68.7,153,153,84.7,204,204,70.2,198,198,58.2,38,38,USNews,"University of California, Davis",CA,public,74,74,3.9,48,92%,84%,87%,3,85%,27,216,31%,33%,21,21 to 1,48,1140,1400,100%,,35,5%
27,64,64,"University of California, Santa Barbara","University of California, Santa Barbara",Times,2023,United States,"25,860",28.5,20%,54%,46%,68.4,44.6,61.5,96.2,80.1,76,"University of California, Santa Barbara (UCSB)",QS,United States,149,L,CO,VH,5,55.9,135,135,24,399,399,10.6,601+,601,97.2,30,30,57.8,317,317,28.4,444,444,50.9,32,32,USNews,"University of California, Santa Barbara",CA,public,77,77,3.6,66,92%,84%,85%,1,83%,15,17,56%,20%,17,17 to 1,30,1230,1480,100%,,53,15%
28,65,65,University of Southern California,University of Southern California,Times,2023,United States,"40,549",12.6,22%,49%,51%,68.3,58.9,58.6,90.4,43.8,63.7,University of Southern California,QS,United States,134,XL,FC,VH,5,54.6,142,142,59.1,131,131,28.4,535,535,71.7,138,138,36.1,434,434,77.4,164,164,53.7,25,25,USNews,University of Southern California,CA,private,80,80,3.9,25,95%,93%,92%,-1,89%,209,38,62%,12%,9,9 to 1,27,1410,1540,80%,,21,33%
29,69,69,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,Times,2023,United States,"31,080",7.9,8%,59%,41%,67.8,58.9,59.7,93.3,46,41.7,"University of North Carolina, Chapel Hill",QS,United States,102,XL,FC,VH,5,65.5,102,102,44.7,210,210,80.4,135,135,46.6,287,287,27.2,507,507,10,601,601+,58.2,29,29,USNews,University of North Carolina at Chapel Hill,NC,public,78,78,4.2,25,96%,89%,92%,3,88%,160,113,41%,13%,16,16 to 1,37,29,33,74%,,37,14%
30,71,71,Boston University,Boston University,Times,2023,United States,"27,243",10.8,31%,59%,41%,67.5,55.9,56.1,92.9,41.1,65.9,Boston University,QS,United States,108,L,FC,VH,5,62.3,110,110,57.2,139,139,40.4,388,388,61.6,195,195,33.7,449,449,83.3,144,144,57.2,41,41,USNews,Boston University,MA,private,73,73,3.8,39,94%,86%,89%,3,87%,303,38,58%,14%,11,11 to 1,37,1360,1520,75%,,49,8%
31,81,81,University of Wisconsin-Madison,University of Wisconsin-Madison,Times,2023,United States,"40,701",10,14%,NA,NA,65.5,59.7,62.9,78.7,48.4,51.8,University of Wisconsin-Madison,QS,United States,83,XL,FC,VH,5,82.4,63,63,48.1,188,188,70.6,184,184,41.9,333,333,37.7,421,421,23.8,482,482,63.7,38,38,USNews,University of Wisconsin--Madison,WI,public,74,74,4.1,39,95%,85%,89%,4,86%,384,84,46%,22%,18,18 to 1,57,28,32,49%,,51,13%
32,82,82,Emory University,Emory University,Times,2023,United States,"13,190",4.2,20%,60%,40%,65.3,54.8,46,98,48.6,59.8,Emory University,QS,United States,155,L,FC,VH,5,25.2,336,336,15.7,501+,501,99.1,40,40,68.7,154,154,50.1,351,351,31.1,420,420,49.5,22,22,USNews,Emory University,GA,private,81,81,4.1,37,95%,93%,90%,-3,88%,209,22,55%,13%,9,9 to 1,28,1420,1540,76%,,17,12%
33,95,95,"University of California, Irvine","University of California, Irvine",Times,2023,United States,"36,655",16.9,28%,52%,48%,63.6,43.5,51.6,93.6,59.4,73.2,"University of California, Irvine",QS,United States,235,XL,FC,VH,4,39.7,213,213,18.4,492,492,12.9,601+,601,59.9,200,200,72,251,251,69.1,206,206,39.5,34,34,USNews,"University of California, Irvine",CA,public,76,76,3.8,57,94%,81%,84%,3,82%,7,42,55%,21%,18,18 to 1,33,1215,1450,99%,,55,5%
34,98,98,Vanderbilt University,Vanderbilt University,Times,2023,United States,"12,696",3.8,15%,55%,45%,63.5,49.5,47.5,96.5,66.7,50.6,Vanderbilt University,QS,United States,199,L,FC,VH,5,25.9,329,329,22.2,424,424,100,9,9,38.5,361,361,38.7,412,412,30,429,429,43.9,13,13,USNews,Vanderbilt University,TN,private,88,88,4.3,17,97%,96%,93%,-3,90%,326,16,61%,10%,8,8 to 1,11,34,35,91%,,11,24%
35,101,101,University of Minnesota,University of Minnesota,Times,2023,United States,"61,009",12,10%,54%,46%,63,55.1,56.9,81.2,77.8,41.7,University of Minnesota Twin Cities,QS,United States,185,XL,FC,VH,5,60.1,116,116,28.2,341,341,38.2,403,403,49.2,269,269,7.1,601,601+,10.1,601,601+,45.4,62,62,USNews,"University of Minnesota, Twin Cities",MN,public,67,67,3.7,66,93%,82%,84%,2,78%,270,231,37%,19%,17,17 to 1,68,27,32,41%,,49,7%
36,104,104,"University of Maryland, College Park","University of Maryland, College Park",Times,2023,United States,"33,775",16.5,11%,49%,51%,62.9,48.1,57.7,89.7,40,42.6,"University of Maryland, College Park",QS,United States,164,XL,FC,VH,5,51.2,151,151,35.6,275,275,37.1,418,418,71.1,140,140,23.8,534,534,14.9,601,601+,47.9,55,55,USNews,"University of Maryland, College Park",MD,public,69,69,3.8,41,95%,88%,88%,NA,84%,339,125,46%,17%,18,18 to 1,48,1330,1510,69%,,101,6%
37,106,106,Michigan State University,Michigan State University,Times,2023,United States,"45,465",16,13%,52%,48%,62.8,56.2,55.6,78.8,39.9,61.9,Michigan State University,QS,United States,159,XL,FC,VH,5,60.5,114,114,61.4,124,124,12.9,601+,601,58.9,210,210,62.1,303,303,16.9,584,584,48.9,77,77,USNews,Michigan State University,MI,public,64,64,3.6,84,92%,74%,82%,8,72%,296,247,24%,17%,16,16 to 1,152,1100,1320,23%,,95,7%
38,112,112,Ohio State University (Main campus),Ohio State University (Main campus),Times,2023,United States,"55,814",11.8,13%,51%,49%,62.2,53,51.2,83.4,55.3,60.3,The Ohio State University,QS,United States,140,XL,FC,VH,5,61.1,113,113,62.2,121,121,51.1,308,308,34.6,396,396,63,297,297,16.2,600,600,52,49,49,USNews,The Ohio State University,OH,public,71,71,3.9,48,94%,85%,88%,3,81%,303,125,34%,17%,18,18 to 1,55,26,32,64%,,77,12%
39,123,123,Dartmouth College,Dartmouth College,Times,2023,United States,"6,440",7.8,15%,49%,51%,60.7,59.8,40.4,88.2,40,42,Dartmouth College,QS,United States,205,M,FC,VH,5,19.2,447,447,25.9,369,369,65.2,222,222,86.7,81,81,5.7,601,601+,32.8,409,409,42.8,12,12,USNews,Dartmouth College,NH,private,89,89,4.4,11,97%,95%,94%,-1,90%,313,13,62%,8%,7,7 to 1,11,1440,1560,94%,,20,39%
40,127,127,Purdue University West Lafayette,Purdue University West Lafayette,Times,2023,United States,"44,551",16.9,20%,44%,56%,60.1,55.9,64.2,56.9,67.8,71.1,Purdue University,QS,United States,129,XL,FC,VH,5,62.7,109,109,73.1,88,88,11.7,601+,601,70.9,141,141,51.7,345,345,48.4,300,300,54.2,51,51,USNews,Purdue University--West Lafayette,IN,public,70,70,3.9,73,92%,78%,83%,5,76%,326,100,38%,20%,14,14 to 1,68,1190,1430,48%,,105,15%
41,134,134,Case Western Reserve University,Case Western Reserve University,Times,2023,United States,"10,934",8.2,20%,51%,49%,59,48.4,40.6,90.7,43.4,52.9,Case Western Reserve University,QS,United States,176,M,FC,VH,4,18.3,471,471,20.2,458,458,89.1,90,90,65.8,172,172,47.8,366,366,64.6,220,220,46.2,44,44,USNews,Case Western Reserve University,OH,private,72,72,3.7,54,94%,91%,84%,-7,81%,282,52,59%,14%,9,9 to 1,37,1410,1530,64%,,41,14%
42,136,136,Georgetown University,Georgetown University,Times,2023,United States,"16,074",8,19%,54%,46%,58.6,55.5,35,88,54,49.1,Georgetown University,QS,United States,281,L,FC,VH,5,31.2,270,270,44.6,213,213,55.4,281,281,27.3,458,458,10.5,601,601+,41.7,332,332,36.3,22,22,USNews,Georgetown University,DC,private,81,81,4.2,11,96%,96%,95%,-1,93%,339,30,55%,6%,11,11 to 1,24,1410,1550,85%,,37,22%
43,144,144,University of Pittsburgh-Pittsburgh campus,University of Pittsburgh-Pittsburgh campus,Times,2023,United States,"26,575",5.5,11%,55%,45%,58.3,46.2,42.9,90.6,44.2,43.4,University of Pittsburgh,QS,United States,181,L,FC,VH,5,39.9,211,211,16.3,501+,501,96.3,58,58,37.4,373,373,7.9,601,601+,13.8,601,601+,45.6,62,62,USNews,University of Pittsburgh,PA,public,67,67,3.6,57,93%,83%,84%,1,76%,403,165,42%,16%,14,14 to 1,64,1250,1470,45%,,32,7%
44,147,147,Rice University,Rice University,Times,2023,United States,"7,068",9.2,28%,43%,57%,57.9,46.5,39.7,84.4,44.5,75.3,Rice University,QS,United States,100,M,FC,VH,5,38.8,218,218,26.1,366,366,69.5,189,189,86.7,82,82,90,174,174,92.6,100,100,58.8,15,15,USNews,Rice University,TX,private,87,87,4.2,17,97%,95%,92%,-3,91%,303,12,70%,7%,6,6 to 1,11,1490,1570,92%,,24,28%
45,148,148,University of Colorado Boulder,University of Colorado Boulder,Times,2023,United States,"34,928",16,8%,45%,55%,57.8,45.6,46.3,85.5,44.6,45.6,University of Colorado Boulder,QS,United States,317,XL,CO,VH,5,37,229,229,13.5,501+,501,41.8,372,372,36.8,379,379,30.2,473,473,5.8,601,601+,33.8,97,97,USNews,University of Colorado Boulder,CO,public,61,61,3.7,144,87%,75%,74%,-1,66%,384,216,45%,16%,17,17 to 1,124,1170,1390,26%,,85,5%
46,151,151,University of Florida,University of Florida,Times,2023,United States,"46,807",16.1,8%,56%,44%,57.7,55,58.7,64.2,51.4,41.4,University of Florida,QS,United States,188,XL,FC,VH,5,48.5,166,166,47,201,201,71.4,177,177,26.4,470,470,17.5,601,601+,11.3,601,601+,45.3,29,29,USNews,University of Florida,FL,public,78,78,3.8,32,97%,83%,91%,8,89%,75,42,55%,10%,17,17 to 1,33,1300,1470,83%,,47,19%
47,151,151,Penn State (Main campus),Penn State (Main campus),Times,2023,United States,"46,863",14,16%,47%,53%,57.7,47.8,53.8,75.2,41.6,48.3,Pennsylvania State University,QS,United States,93,XL,FC,VH,5,76.7,75,75,69.8,97,97,32.6,473,473,67.7,162,162,25.3,523,523,31,421,421,60.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,151,151,Tufts University,Tufts University,Times,2023,United States,"11,399",10,16%,56%,44%,57.7,47.1,36.7,92.2,43.4,51.4,Tufts University,QS,United States,312,M,FC,VH,5,18.3,470,470,7.2,501+,501,65.7,217,217,48.2,273,273,30.1,475,475,32.9,407,407,34.1,32,32,USNews,Tufts University,MA,private,77,77,3.8,17,95%,96%,94%,-2,95%,339,42,63%,8%,10,10 to 1,21,1440,1550,82%,,32,18%
49,154,154,University of Rochester,University of Rochester,Times,2023,United States,"10,364",7.7,36%,50%,50%,57.6,42,40.5,87,49.3,73.8,University of Rochester,QS,United States,147,M,FC,VH,5,23.8,356,356,20.1,459,459,99.3,36,36,55,230,230,74.9,238,238,95.1,78,78,51.1,36,36,USNews,University of Rochester,NY,private,75,75,3.5,48,93%,87%,86%,-1,83%,209,21,80%,8%,9,9 to 1,40,1370,1520,71%,,21,19%
50,156,156,Arizona State University (Tempe),Arizona State University (Tempe),Times,2023,United States,"50,027",19.6,17%,45%,55%,57.4,44.8,47.9,79.6,40.2,62.5,Arizona State University,QS,United States,219,XL,CO,VH,5,46.7,173,173,40.2,233,233,8.2,601+,601,59.9,201,201,67.7,270,270,37.1,372,372,41.8,121,121,USNews,Arizona State University,AZ,public,58,58,3.3,171,87%,67%,68%,1,61%,168,231,39%,16%,18,18 to 1,160,20,28,28%,,187,7%
51,156,156,University of Virginia (Main campus),University of Virginia (Main campus),Times,2023,United States,"25,810",9,13%,53%,47%,57.4,48.1,39.8,86.6,45.8,52.5,University of Virginia,QS,United States,253,L,FC,VH,5,35.2,240,240,37.5,254,254,60.7,253,253,36.5,381,381,6.7,601,601+,10.9,601,601+,38.3,25,25,USNews,University of Virginia,VA,public,80,80,4.3,11,97%,96%,94%,-2,90%,361,35,52%,16%,15,15 to 1,18,1390,1530,90%,,44,15%
52,168,168,"Northeastern University, US","Northeastern University, US",Times,2023,United States,"21,211",14.6,36%,48%,52%,56.6,39.9,30.2,96.2,40.1,76.3,Northeastern University,QS,United States,388,L,CO,VH,5,20.5,409,409,12.5,501+,501,17.8,601+,601,37.1,376,376,76,232,232,95.8,73,73,29.2,44,44,USNews,Northeastern University,MA,private,72,72,3.6,32,98%,90%,91%,1,90%,296,31,67%,7%,15,15 to 1,43,1430,1550,71%,,65,12%
53,170,170,Indiana University,Indiana University,Times,2023,United States,"66,637",12.6,13%,53%,47%,56.5,45.5,39.4,85.5,53.6,54.3,Indiana University Bloomington,QS,United States,339,XL,FC,VH,5,36.6,233,233,26.3,363,363,28.4,534,534,29.4,436,436,43.3,389,389,11.8,601,601+,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,180,180,University of Arizona,University of Arizona,Times,2023,United States,"39,797",17,9%,54%,46%,55.9,45.8,47,78.7,52.1,41.3,The University of Arizona,QS,United States,262,XL,FC,VH,5,39.6,216,216,22.4,420,420,67.6,201,201,21.5,533,533,20.5,576,576,13.5,601,601+,37.8,105,105,USNews,University of Arizona,AZ,public,60,60,3.6,210,83%,68%,64%,-4,59%,209,165,35%,16%,17,17 to 1,114,21,29,39%,,77,6%
